,blueWins,blueTowerKills,blueFirstInhibitor,blueInhibitorKills,blueObjectDamageDealt,blueDeath,blueKills,blueDragonKills
94,0,1,0,0,3912,65,48,0
95,0,1,0,0,10654,22,9,0
96,0,3,0,0,52786,22,15,3
97,0,8,1,2,84437,42,30,2
98,1,7,1,1,42651,16,29,1
99,0,0,0,0,280,67,33,0
100,1,4,1,1,10244,39,39,0
101,0,4,0,0,26063,23,18,1
102,1,3,0,0,29857,13,22,2
103,0,0,0,0,15406,21,9,0
104,0,1,0,0,18786,28,14,0
105,1,7,0,0,53247,32,42,2
106,0,1,0,0,17889,28,15,1
107,1,9,1,1,64178,21,33,1
108,1,9,1,1,88746,48,49,5
109,1,8,1,1,78884,28,30,3
110,1,10,1,1,99990,20,25,3
111,0,2,0,0,19786,24,9,0
112,0,5,0,0,32041,29,16,1
113,1,4,0,0,68321,9,30,3
114,1,11,1,2,66074,15,45,2
115,0,9,1,1,54243,33,37,3
116,1,7,1,1,45825,18,28,0
117,0,1,0,0,8230,27,11,0
118,1,5,0,0,43000,21,27,1
119,1,4,0,0,35492,5,20,2
120,1,8,1,1,72762,25,39,2
121,1,5,0,0,16672,10,33,0
122,1,9,1,1,38575,22,42,2
123,0,4,0,0,33897,44,24,1
124,1,9,1,2,72835,14,36,3
125,1,9,1,2,79578,20,35,3
126,1,4,0,0,20658,6,21,1
127,0,0,0,0,7578,29,15,0
128,1,4,1,2,10136,29,50,0
129,1,10,1,2,78506,11,26,2
130,1,8,1,1,77785,16,37,3
131,0,0,0,0,3551,22,5,0
132,0,4,0,0,47893,45,36,3
133,0,9,1,3,118904,55,50,1
134,0,3,0,0,34798,36,28,2
135,0,0,0,0,505,29,11,0
136,1,6,1,1,46641,18,24,0
137,0,0,0,0,38505,26,32,0
138,0,4,0,0,42433,26,29,1
139,0,0,0,0,5519,20,8,0
140,0,2,0,0,27462,33,19,2
141,0,2,0,0,19370,28,11,0
142,1,7,1,1,57894,28,28,1
143,0,4,0,0,24221,48,29,0
144,1,9,1,1,75800,20,45,4
145,1,8,1,1,55870,28,35,1
146,0,4,0,0,38416,44,25,0
147,1,9,1,3,70017,17,31,2
148,0,4,1,1,8582,69,65,0
149,0,8,0,1,44344,28,22,1
150,0,4,0,0,43397,34,29,1
151,1,7,1,1,42741,27,33,2
152,1,3,0,0,25610,9,30,2
153,0,4,0,0,51532,25,18,2
154,0,2,0,0,25763,57,31,0
155,0,2,0,0,34990,36,22,1
156,1,9,1,2,72983,17,36,3
157,1,8,1,1,56005,17,35,2
158,1,4,0,0,40223,16,23,1
159,1,3,1,1,20976,20,31,0
160,0,2,1,1,4857,73,56,0
161,1,7,0,1,79963,32,44,3
162,1,5,1,1,23002,6,25,0
163,1,9,1,2,45732,18,42,0
164,1,8,1,1,73326,37,37,3
165,0,0,0,0,5930,15,6,0
166,1,7,1,1,37738,22,35,2
167,0,7,0,1,55378,35,28,1
168,1,8,1,1,71075,30,45,3
169,1,10,1,2,68616,20,38,2
170,1,6,0,0,47253,16,30,2
171,1,2,0,0,15134,9,17,0
172,0,1,0,0,22381,48,17,2
173,1,6,0,0,57379,17,29,1
174,1,5,0,0,23875,6,23,0
175,0,0,0,0,281,57,33,0
176,0,1,0,0,13085,23,13,0
177,1,9,1,2,63554,17,41,2
178,0,3,0,0,16365,10,14,0
179,1,5,1,1,59713,24,42,3
180,1,7,1,1,77674,37,39,1
181,1,4,1,1,9548,27,37,0
182,1,9,1,1,82468,26,25,4
183,1,3,0,0,39398,15,23,1
184,1,3,0,0,28364,15,31,1
185,1,3,0,0,29744,6,17,2
186,1,4,0,0,28295,3,22,1
187,0,4,0,0,56829,34,34,4
188,1,4,1,1,7836,53,59,0
189,1,8,1,1,58291,19,31,3
190,0,1,0,0,5044,20,14,0
191,0,2,0,0,14595,30,11,0
192,0,2,0,0,10684,32,21,0
193,0,0,0,0,1944,31,6,0
194,1,8,1,1,80829,18,30,3
195,0,0,0,0,14004,8,7,0
196,0,4,0,0,52466,47,37,2
197,0,6,0,0,86673,31,37,2
198,1,8,1,1,60945,40,46,1
199,0,0,0,0,2713,27,9,0
200,1,6,0,0,42653,17,28,3
201,0,4,0,0,17595,30,19,0
202,0,3,0,0,38711,39,20,3
203,0,0,0,0,17987,29,10,0
204,1,8,1,1,68343,13,30,3
205,0,2,0,0,18420,24,17,0
206,0,5,1,1,61729,41,22,0
207,0,0,0,0,20648,22,13,1
208,0,5,0,0,43949,29,20,3
209,0,2,0,0,20643,31,20,1
210,0,1,0,0,20963,37,21,0
211,1,3,0,0,32476,14,25,1
212,0,2,1,1,6447,36,35,0
213,1,7,1,1,32992,2,14,1
214,1,2,0,0,19930,6,25,1
215,0,0,0,0,6047,31,15,0
216,0,0,0,0,324,47,21,0
217,0,5,1,1,50751,29,22,0
218,1,7,1,1,62732,17,36,2
219,1,4,1,2,8040,74,76,0
220,0,2,0,0,22830,31,19,0
221,1,8,1,1,39392,12,38,1
222,0,0,0,0,10999,29,15,1
223,1,0,0,0,11284,8,10,0
224,0,0,0,0,0,15,11,0
225,0,4,0,0,41292,26,20,2
226,0,1,0,0,7897,26,16,0
227,1,0,0,0,484,0,0,0
228,0,5,1,1,55975,29,23,1
229,1,8,1,1,65605,18,32,3
230,0,5,0,0,53301,22,19,2
231,0,3,0,0,23307,39,29,0
232,0,6,1,1,39745,30,37,0
233,1,6,1,1,34929,11,31,1
234,1,8,1,1,59575,22,35,2
235,1,8,1,1,75651,21,44,2
236,1,4,0,0,58414,17,35,2
237,1,10,1,2,59921,14,36,1
238,0,1,0,0,28123,34,15,0
239,0,3,0,0,39245,37,29,1
240,0,2,0,0,15532,29,16,0
241,0,1,0,0,11956,25,6,1
242,0,1,0,0,9439,29,11,0
243,0,0,0,0,7600,21,10,1
244,0,4,0,0,40294,30,31,2
245,1,4,0,0,51152,15,25,3
246,0,3,0,0,37629,43,25,1
247,0,1,0,0,2675,59,53,0
248,0,1,0,0,9736,37,13,0
249,1,11,1,1,88466,15,26,3
250,0,1,0,0,15270,25,18,2
251,0,1,0,0,17969,13,8,1
252,0,0,0,0,22421,19,12,0
